province,employment_type,year,employment_unemployment_employment_rate
Saskatchewan,Unemployment rate 10,1980,4.4
Saskatchewan,Unemployment rate 11,1981,4.6
Saskatchewan,Unemployment rate 12,1982,6.4
Saskatchewan,Unemployment rate 13,1983,7.9
Saskatchewan,Unemployment rate 14,1984,8.3
Saskatchewan,Unemployment rate 15,1985,8.3
Saskatchewan,Unemployment rate 16,1986,7.9
Saskatchewan,Unemployment rate 17,1987,7.5
Saskatchewan,Unemployment rate 18,1988,7.5
Saskatchewan,Unemployment rate 19,1989,7.5
Saskatchewan,Unemployment rate 20,1990,7.2
Saskatchewan,Unemployment rate 21,1991,7.6
Saskatchewan,Unemployment rate 22,1992,8.2
Saskatchewan,Unemployment rate 23,1993,8.5
Saskatchewan,Unemployment rate 24,1994,7.1
Saskatchewan,Unemployment rate 25,1995,7
Saskatchewan,Unemployment rate 26,1996,6.8
Saskatchewan,Unemployment rate 27,1997,6.1
Saskatchewan,Unemployment rate 28,1998,6
Saskatchewan,Unemployment rate 29,1999,6.2
Saskatchewan,Unemployment rate 30,2000,5.3
Saskatchewan,Unemployment rate 31,2001,5.9
Saskatchewan,Unemployment rate 32,2002,5.8
Saskatchewan,Unemployment rate 33,2003,5.7
Saskatchewan,Unemployment rate 34,2004,5.4
Saskatchewan,Unemployment rate 35,2005,5.2
Saskatchewan,Unemployment rate 36,2006,4.8
Saskatchewan,Unemployment rate 37,2007,4.3
Saskatchewan,Unemployment rate 38,2008,4.1
Saskatchewan,Unemployment rate 39,2009,5
Saskatchewan,Unemployment rate 40,2010,5.3
Saskatchewan,Unemployment rate 41,2011,5
Saskatchewan,Unemployment rate 42,2012,4.8
Saskatchewan,Unemployment rate 43,2013,4.2
Saskatchewan,Unemployment rate 44,2014,3.9
Saskatchewan,Unemployment rate 45,2015,5.1
Saskatchewan,Unemployment rate 46,2016,6.4
Saskatchewan,Unemployment rate 47,2017,6.4
Saskatchewan,Unemployment rate 48,2018,6.3
Alberta,"Employment  (x 1,000)4",1976,838.3
Alberta,"Employment  (x 1,000)5",1977,890.1
Alberta,"Employment  (x 1,000)6",1978,945.1
Alberta,"Employment  (x 1,000)7",1979,"1,019.30"
Alberta,"Employment  (x 1,000)8",1980,"1,088.70"
Alberta,"Employment  (x 1,000)9",1981,"1,168.50"
Alberta,"Employment  (x 1,000)10",1982,"1,151.10"
Alberta,"Employment  (x 1,000)11",1983,"1,118.20"
Alberta,"Employment  (x 1,000)12",1984,"1,123.50"
Alberta,"Employment  (x 1,000)13",1985,"1,157.90"
Alberta,"Employment  (x 1,000)14",1986,"1,167.00"
Alberta,"Employment  (x 1,000)15",1987,"1,171.70"
Alberta,"Employment  (x 1,000)16",1988,"1,202.90"
Alberta,"Employment  (x 1,000)17",1989,"1,231.60"
Alberta,"Employment  (x 1,000)18",1990,"1,254.80"
Alberta,"Employment  (x 1,000)19",1991,"1,261.80"
Alberta,"Employment  (x 1,000)20",1992,"1,257.50"
Alberta,"Employment  (x 1,000)21",1993,"1,267.00"
Alberta,"Employment  (x 1,000)22",1994,"1,303.30"
Alberta,"Employment  (x 1,000)23",1995,"1,340.20"
Alberta,"Employment  (x 1,000)24",1996,"1,378.40"
Alberta,"Employment  (x 1,000)25",1997,"1,427.50"
Alberta,"Employment  (x 1,000)26",1998,"1,483.40"
Alberta,"Employment  (x 1,000)27",1999,"1,515.30"
Alberta,"Employment  (x 1,000)28",2000,"1,555.50"
Alberta,"Employment  (x 1,000)29",2001,"1,601.20"
Alberta,"Employment  (x 1,000)30",2002,"1,646.30"
Alberta,"Employment  (x 1,000)31",2003,"1,695.40"
Alberta,"Employment  (x 1,000)32",2004,"1,737.90"
Alberta,"Employment  (x 1,000)33",2005,"1,784.90"
Alberta,"Employment  (x 1,000)34",2006,"1,873.00"
Alberta,"Employment  (x 1,000)35",2007,"1,944.40"
Alberta,"Employment  (x 1,000)36",2008,"2,000.20"
Alberta,"Employment  (x 1,000)37",2009,"1,972.90"
Alberta,"Employment  (x 1,000)38",2010,"1,967.90"
Alberta,"Employment  (x 1,000)39",2011,"2,032.20"
Alberta,"Employment  (x 1,000)40",2012,"2,098.20"
Alberta,"Employment  (x 1,000)41",2013,"2,147.50"
Alberta,"Employment  (x 1,000)42",2014,"2,192.10"
Alberta,"Employment  (x 1,000)43",2015,"2,211.10"
Alberta,"Employment  (x 1,000)44",2016,"2,175.70"
Alberta,"Employment  (x 1,000)45",2017,"2,195.40"
Alberta,"Employment  (x 1,000)46",2018,"2,232.20"
Alberta,"Unemployment  (x 1,000)5",1976,35
Alberta,"Unemployment  (x 1,000)6",1977,42.3
Alberta,"Unemployment  (x 1,000)7",1978,47.7
Alberta,"Unemployment  (x 1,000)8",1979,42.1
Alberta,"Unemployment  (x 1,000)9",1980,44.1
Alberta,"Unemployment  (x 1,000)10",1981,47.9
Alberta,"Unemployment  (x 1,000)11",1982,97
Alberta,"Unemployment  (x 1,000)12",1983,139.8
Alberta,"Unemployment  (x 1,000)13",1984,145.1
Alberta,"Unemployment  (x 1,000)14",1985,126.9
Alberta,"Unemployment  (x 1,000)15",1986,130.3
Alberta,"Unemployment  (x 1,000)16",1987,125.6
Alberta,"Unemployment  (x 1,000)17",1988,106.1
Alberta,"Unemployment  (x 1,000)18",1989,96.4
Alberta,"Unemployment  (x 1,000)19",1990,93.8
Alberta,"Unemployment  (x 1,000)20",1991,114.1
Alberta,"Unemployment  (x 1,000)21",1992,133.1
Alberta,"Unemployment  (x 1,000)22",1993,136.1
Alberta,"Unemployment  (x 1,000)23",1994,126.6
Alberta,"Unemployment  (x 1,000)24",1995,114.9
Alberta,"Unemployment  (x 1,000)25",1996,103.2
Alberta,"Unemployment  (x 1,000)26",1997,90.2
Alberta,"Unemployment  (x 1,000)27",1998,88.9
Alberta,"Unemployment  (x 1,000)28",1999,93.1
Alberta,"Unemployment  (x 1,000)29",2000,82.1
Alberta,"Unemployment  (x 1,000)30",2001,79.5
Alberta,"Unemployment  (x 1,000)31",2002,93.2
Alberta,"Unemployment  (x 1,000)32",2003,91.9
Alberta,"Unemployment  (x 1,000)33",2004,85.7
Alberta,"Unemployment  (x 1,000)34",2005,74.1
Alberta,"Unemployment  (x 1,000)35",2006,67.9
Alberta,"Unemployment  (x 1,000)36",2007,72
Alberta,"Unemployment  (x 1,000)37",2008,75.4
Alberta,"Unemployment  (x 1,000)38",2009,139.3
Alberta,"Unemployment  (x 1,000)39",2010,139.3
Alberta,"Unemployment  (x 1,000)40",2011,118.4
Alberta,"Unemployment  (x 1,000)41",2012,101.5
Alberta,"Unemployment  (x 1,000)42",2013,104.2
Alberta,"Unemployment  (x 1,000)43",2014,109.5
Alberta,"Unemployment  (x 1,000)44",2015,144.9
Alberta,"Unemployment  (x 1,000)45",2016,196.2
Alberta,"Unemployment  (x 1,000)46",2017,187.6
Alberta,"Unemployment  (x 1,000)47",2018,159.2
Alberta,Unemployment rate 6,1976,4
Alberta,Unemployment rate 7,1977,4.5
Alberta,Unemployment rate 8,1978,4.8
Alberta,Unemployment rate 9,1979,4
Alberta,Unemployment rate 10,1980,3.9
Alberta,Unemployment rate 11,1981,3.9
Alberta,Unemployment rate 12,1982,7.8
Alberta,Unemployment rate 13,1983,11.1
Alberta,Unemployment rate 14,1984,11.4
Alberta,Unemployment rate 15,1985,9.9
Alberta,Unemployment rate 16,1986,10
Alberta,Unemployment rate 17,1987,9.7
Alberta,Unemployment rate 18,1988,8.1
Alberta,Unemployment rate 19,1989,7.3
Alberta,Unemployment rate 20,1990,7
Alberta,Unemployment rate 21,1991,8.3
Alberta,Unemployment rate 22,1992,9.6
Alberta,Unemployment rate 23,1993,9.7
Alberta,Unemployment rate 24,1994,8.9
Alberta,Unemployment rate 25,1995,7.9
Alberta,Unemployment rate 26,1996,7
Alberta,Unemployment rate 27,1997,5.9
Alberta,Unemployment rate 28,1998,5.7
Alberta,Unemployment rate 29,1999,5.8
Alberta,Unemployment rate 30,2000,5
Alberta,Unemployment rate 31,2001,4.7
Alberta,Unemployment rate 32,2002,5.4
Alberta,Unemployment rate 33,2003,5.1
Alberta,Unemployment rate 34,2004,4.7
Alberta,Unemployment rate 35,2005,4
Alberta,Unemployment rate 36,2006,3.5
Alberta,Unemployment rate 37,2007,3.6
Alberta,Unemployment rate 38,2008,3.6
Alberta,Unemployment rate 39,2009,6.6
Alberta,Unemployment rate 40,2010,6.6
Alberta,Unemployment rate 41,2011,5.5
Alberta,Unemployment rate 42,2012,4.6
Alberta,Unemployment rate 43,2013,4.6
Alberta,Unemployment rate 44,2014,4.8
Alberta,Unemployment rate 45,2015,6.1
Alberta,Unemployment rate 46,2016,8.3
Alberta,Unemployment rate 47,2017,7.9
Alberta,Unemployment rate 48,2018,6.7
British Columbia,"Employment  (x 1,000)4",1976,"1,045.70"
British Columbia,"Employment  (x 1,000)5",1977,"1,073.20"
British Columbia,"Employment  (x 1,000)6",1978,"1,123.80"
British Columbia,"Employment  (x 1,000)7",1979,"1,171.60"
British Columbia,"Employment  (x 1,000)8",1980,"1,247.10"
British Columbia,"Employment  (x 1,000)9",1981,"1,301.60"
British Columbia,"Employment  (x 1,000)10",1982,"1,235.20"
British Columbia,"Employment  (x 1,000)11",1983,"1,227.30"
British Columbia,"Employment  (x 1,000)12",1984,"1,229.10"
British Columbia,"Employment  (x 1,000)13",1985,"1,263.80"
British Columbia,"Employment  (x 1,000)14",1986,"1,315.20"
British Columbia,"Employment  (x 1,000)15",1987,"1,360.70"
British Columbia,"Employment  (x 1,000)16",1988,"1,417.00"
British Columbia,"Employment  (x 1,000)17",1989,"1,492.30"
British Columbia,"Employment  (x 1,000)18",1990,"1,538.20"
British Columbia,"Employment  (x 1,000)19",1991,"1,557.90"
British Columbia,"Employment  (x 1,000)20",1992,"1,598.20"
British Columbia,"Employment  (x 1,000)21",1993,"1,647.00"
British Columbia,"Employment  (x 1,000)22",1994,"1,714.60"
British Columbia,"Employment  (x 1,000)23",1995,"1,764.40"
British Columbia,"Employment  (x 1,000)24",1996,"1,790.60"
British Columbia,"Employment  (x 1,000)25",1997,"1,835.80"
British Columbia,"Employment  (x 1,000)26",1998,"1,828.30"
British Columbia,"Employment  (x 1,000)27",1999,"1,866.40"
British Columbia,"Employment  (x 1,000)28",2000,"1,905.70"
British Columbia,"Employment  (x 1,000)29",2001,"1,896.30"
British Columbia,"Employment  (x 1,000)30",2002,"1,920.80"
British Columbia,"Employment  (x 1,000)31",2003,"1,961.90"
British Columbia,"Employment  (x 1,000)32",2004,"1,992.50"
British Columbia,"Employment  (x 1,000)33",2005,"2,047.40"
British Columbia,"Employment  (x 1,000)34",2006,"2,097.10"
British Columbia,"Employment  (x 1,000)35",2007,"2,158.30"
British Columbia,"Employment  (x 1,000)36",2008,"2,183.70"
British Columbia,"Employment  (x 1,000)37",2009,"2,132.40"
British Columbia,"Employment  (x 1,000)38",2010,"2,153.70"
British Columbia,"Employment  (x 1,000)39",2011,"2,156.10"
British Columbia,"Employment  (x 1,000)40",2012,"2,180.10"
British Columbia,"Employment  (x 1,000)41",2013,"2,179.70"
British Columbia,"Employment  (x 1,000)42",2014,"2,190.40"
British Columbia,"Employment  (x 1,000)43",2015,"2,212.00"
British Columbia,"Employment  (x 1,000)44",2016,"2,270.60"
British Columbia,"Employment  (x 1,000)45",2017,"2,347.10"
British Columbia,"Employment  (x 1,000)46",2018,"2,367.70"
British Columbia,"Unemployment  (x 1,000)5",1976,97
British Columbia,"Unemployment  (x 1,000)6",1977,98.9
British Columbia,"Unemployment  (x 1,000)7",1978,102.2
British Columbia,"Unemployment  (x 1,000)8",1979,99.1
British Columbia,"Unemployment  (x 1,000)9",1980,90.3
British Columbia,"Unemployment  (x 1,000)10",1981,96
British Columbia,"Unemployment  (x 1,000)11",1982,172.7
British Columbia,"Unemployment  (x 1,000)12",1983,200.2
British Columbia,"Unemployment  (x 1,000)13",1984,219.2
British Columbia,"Unemployment  (x 1,000)14",1985,213
British Columbia,"Unemployment  (x 1,000)15",1986,194
British Columbia,"Unemployment  (x 1,000)16",1987,188.4
British Columbia,"Unemployment  (x 1,000)17",1988,163.5
British Columbia,"Unemployment  (x 1,000)18",1989,150.3
British Columbia,"Unemployment  (x 1,000)19",1990,143.2
British Columbia,"Unemployment  (x 1,000)20",1991,172.4
British Columbia,"Unemployment  (x 1,000)21",1992,181.7
British Columbia,"Unemployment  (x 1,000)22",1993,178.8
British Columbia,"Unemployment  (x 1,000)23",1994,174.3
British Columbia,"Unemployment  (x 1,000)24",1995,164.3
British Columbia,"Unemployment  (x 1,000)25",1996,171.2
British Columbia,"Unemployment  (x 1,000)26",1997,170.5
British Columbia,"Unemployment  (x 1,000)27",1998,178.7
British Columbia,"Unemployment  (x 1,000)28",1999,169.1
British Columbia,"Unemployment  (x 1,000)29",2000,148.7
British Columbia,"Unemployment  (x 1,000)30",2001,159.2
British Columbia,"Unemployment  (x 1,000)31",2002,180.1
British Columbia,"Unemployment  (x 1,000)32",2003,171.9
British Columbia,"Unemployment  (x 1,000)33",2004,156
British Columbia,"Unemployment  (x 1,000)34",2005,128.5
British Columbia,"Unemployment  (x 1,000)35",2006,104.6
British Columbia,"Unemployment  (x 1,000)36",2007,96.8
British Columbia,"Unemployment  (x 1,000)37",2008,106.1
British Columbia,"Unemployment  (x 1,000)38",2009,180.1
British Columbia,"Unemployment  (x 1,000)39",2010,179.3
British Columbia,"Unemployment  (x 1,000)40",2011,178.7
British Columbia,"Unemployment  (x 1,000)41",2012,162.7
British Columbia,"Unemployment  (x 1,000)42",2013,156.7
British Columbia,"Unemployment  (x 1,000)43",2014,143.3
British Columbia,"Unemployment  (x 1,000)44",2015,147.1
British Columbia,"Unemployment  (x 1,000)45",2016,146.9
British Columbia,"Unemployment  (x 1,000)46",2017,127.6
British Columbia,"Unemployment  (x 1,000)47",2018,118.4
British Columbia,Unemployment rate 6,1976,8.5
British Columbia,Unemployment rate 7,1977,8.4
British Columbia,Unemployment rate 8,1978,8.3
British Columbia,Unemployment rate 9,1979,7.8
British Columbia,Unemployment rate 10,1980,6.8
British Columbia,Unemployment rate 11,1981,6.9
British Columbia,Unemployment rate 12,1982,12.3
British Columbia,Unemployment rate 13,1983,14
British Columbia,Unemployment rate 14,1984,15.1
British Columbia,Unemployment rate 15,1985,14.4
British Columbia,Unemployment rate 16,1986,12.9
British Columbia,Unemployment rate 17,1987,12.2
British Columbia,Unemployment rate 18,1988,10.3
British Columbia,Unemployment rate 19,1989,9.2
British Columbia,Unemployment rate 20,1990,8.5
British Columbia,Unemployment rate 21,1991,10
British Columbia,Unemployment rate 22,1992,10.2
British Columbia,Unemployment rate 23,1993,9.8
British Columbia,Unemployment rate 24,1994,9.2
British Columbia,Unemployment rate 25,1995,8.5
British Columbia,Unemployment rate 26,1996,8.7
British Columbia,Unemployment rate 27,1997,8.5
British Columbia,Unemployment rate 28,1998,8.9
British Columbia,Unemployment rate 29,1999,8.3
British Columbia,Unemployment rate 30,2000,7.2
British Columbia,Unemployment rate 31,2001,7.7
British Columbia,Unemployment rate 32,2002,8.6
British Columbia,Unemployment rate 33,2003,8.1
British Columbia,Unemployment rate 34,2004,7.3
British Columbia,Unemployment rate 35,2005,5.9
British Columbia,Unemployment rate 36,2006,4.8
British Columbia,Unemployment rate 37,2007,4.3
British Columbia,Unemployment rate 38,2008,4.6
British Columbia,Unemployment rate 39,2009,7.8
British Columbia,Unemployment rate 40,2010,7.7
British Columbia,Unemployment rate 41,2011,7.7
British Columbia,Unemployment rate 42,2012,6.9
British Columbia,Unemployment rate 43,2013,6.7
British Columbia,Unemployment rate 44,2014,6.1
British Columbia,Unemployment rate 45,2015,6.2
British Columbia,Unemployment rate 46,2016,6.1
British Columbia,Unemployment rate 47,2017,5.2
British Columbia,Unemployment rate 48,2018,4.8
